Source:,"EM-DAT, CRED / UCLouvain, Brussels, Belgium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,www.emdat.be,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version:,2023-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
File creation:,"Thu, 03 Aug 2023 19:58:12 CEST",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table type:,Custom request,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of records:,259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1991-0444-VNM,1991,0444,,Natural,Meteorological,Storm,,,,Viet Nam,VNM,South-Eastern Asia,Asia,"Quang Ngai, Quang Nam-Da, Thua Thien-Hue provinces",,,,Yes,,,,70,Kph,,,,,1991,12,28,1991,12,28,251,200,10000,,10200,,,,,1000,2149,46.53662061,,,,
1991-0711-VNM,1991,0711,,Natural,Meteorological,Storm,,,,Viet Nam,VNM,South-Eastern Asia,Asia,Khanh Hoa,,,,,,,,,Kph,,,,,1991,3,15,1991,3,15,8,,10708,,10708,,,,,,,46.53662061,,,,
1992-0313-VNM,1992,0313,,Natural,Hydrological,Landslide,Avalanche,,,Viet Nam,VNM,South-Eastern Asia,Asia,Ha Tuyen (Cao Bang province),,"Slide (land, mud, snow, rock)",,,No,No,,,,,,,,1992,7,25,1992,7,25,200,,,38000,38000,,,,,,,47.94612964,,,,
1992-0145-VNM,1992,0145,,Natural,Hydrological,Flood,Coastal flood,,,Viet Nam,VNM,South-Eastern Asia,Asia,"Quang Binh, Quang Tri provinces",Tropical cyclone,,,,No,No,,,Km2,,,,,1992,10,28,1992,10,31,1,,58000,,58000,,,,,,,47.94612964,,,,
1992-0144-VNM,1992,0144,,Natural,Hydrological,Flood,Riverine flood,,,Viet Nam,VNM,South-Eastern Asia,Asia,"Nghe An, Ha Tinh, Quang Binh, Quang Tri, Thua Thien-Hue, Quang Nam-Da Nang provinces",Heavy rain,,,Yes,No,No,,569,Km2,,,,,1992,10,5,1992,10,9,55,10,44109,7579,51698,,,,,47700,99487,47.94612964,,,,
1992-0061-VNM,1992,0061,,Natural,Meteorological,Storm,Tropical cyclone,,Chuck,Viet Nam,VNM,South-Eastern Asia,Asia,"Haiphong, Quang Ninh provinces",,,,,,,11162,,Kph,,,,,1992,6,29,1992,6,29,14,11,44945,2230,47186,,,,,400,834,47.94612964,,,,
1992-0143-VNM,1992,0143,,Natural,Meteorological,Storm,Tropical cyclone,,Angela,Viet Nam,VNM,South-Eastern Asia,Asia,Between Thua Thien Hue and Khanh Hoa provinces,,,,,,,,,Kph,,,,,1992,10,23,1992,10,23,17,12,31180,980,32172,,,,,18000,37542,47.94612964,,,,
1993-0133-VNM,1993,0133,,Natural,Meteorological,Storm,Convective storm,Hail,,Viet Nam,VNM,South-Eastern Asia,Asia,Tuyen Quang province,,,,,,,,,Kph,,,,,1993,3,16,1993,3,16,3,16,,2000,2016,,,,,,,49.36133216,,,,
1993-0213-VNM,1993,0213,,Natural,Hydrological,Flood,Flash flood,,,Viet Nam,VNM,South-Eastern Asia,Asia,"Phu Yen, Lam Dong, Quang Tri, Da Nang, Khanh Hoa, Binh Dinh, Darlac and Binh Thuan provinces",Brief torrential rain,,,,No,No,,29440,Km2,,,,"Phan Thiet, Muong Man River",1993,10,2,1993,10,12,64,,15000,,15000,,,,,10000,20259,49.36133216,,,,
1993-0088-VNM,1993,0088,,Natural,Meteorological,Storm,Tropical cyclone,,Kyle,Viet Nam,VNM,South-Eastern Asia,Asia,"Phu Yen, Khanh Hoa, Binh Dinh, Dal Lac provinces",,,,Yes,No,No,,,Kph,,,,,1993,11,23,1993,11,23,130,16,6000,5490,11506,,,,,15000,30388,49.36133216,,,,
1993-0231-VNM,1993,0231,,Natural,Meteorological,Storm,Tropical cyclone,,Lola,Viet Nam,VNM,South-Eastern Asia,Asia,"Ninh Hai, Cam Ranh districts (Khanh Hoa province)",,,,,,,,130,Kph,,,,,1993,12,8,1993,12,8,73,20,20520,4695,25235,,,,,50000,101294,49.36133216,,,,
1994-0187-VNM,1994,0187,,Natural,Hydrological,Landslide,Mudslide,,,Viet Nam,VNM,South-Eastern Asia,Asia,Lai Chau province,,"Slide (land, mud, snow, rock)",,,No,No,,17600,,,,,"Nam Duc, Red",1994,7,15,1994,7,31,21,34,,1000,1034,,,,,2300,4541,50.64840266,,,,
1994-0341-VNM,1994,0341,,Natural,Hydrological,Flood,Riverine flood,,,Viet Nam,VNM,South-Eastern Asia,Asia,"Dong Thap, An Giang, Long An, Tien Giang, Kien Giang, Can Tho, Nghe An, Thanh Hoa provinces",Monsoonal rain,,,Yes,No,No,920,65260,Km2,,,,Mekong,1994,9,4,1994,12,18,310,,382000,,382000,,,,,206000,406726,50.64840266,,,,
1994-0658-VNM,1994,0658,,Natural,Meteorological,Storm,Tropical cyclone,,Luke,Viet Nam,VNM,South-Eastern Asia,Asia,"Thanh Hoa, Ninh Binh, Nam Ha, Ha Tay",,,,,No,No,,,Kph,,,,,1994,9,17,1994,9,17,30,,11000,,11000,,,,,45000,88848,50.64840266,,,,
1995-0274-VNM,1995,0274,,Natural,Meteorological,Storm,Tropical cyclone,,Zack,Viet Nam,VNM,South-Eastern Asia,Asia,"Quang Ngai, Binh Dinh, Quang Nam-Danang, Quang Tri, Quang Binh",,Flood,,,No,No,838,,Kph,,,,,1995,11,1,1995,11,1,16,51,23000,,23051,,,,,21200,40715,52.06929869,,,,
1995-0236-VNM,1995,0236,,Natural,Hydrological,Flood,Riverine flood,,,Viet Nam,VNM,South-Eastern Asia,Asia,"Quang Binh, Quang Tri, Kegalle, Da Nang, Dong Thap, Dong Thap, Kien Gang, An Giang, Tien Giang, Vinh Long, Can Tho provinces",Heavy rain,,,Yes,No,No,,123000,Km2,,,,"Mekong, Perfume",1995,9,21,1995,10,19,253,,400000,,400000,,,,,86000,165165,52.06929869,,,,
1996-0500-VNM,1996,0500,,Natural,Meteorological,Storm,Tropical cyclone,,,Viet Nam,VNM,South-Eastern Asia,Asia,"Thanh Hoa, Golfe du Tonkin",,"Slide (land, mud, snow, rock)",,,No,No,,,Kph,,,,,1996,8,14,1996,8,26,194,,,,,,,,,227000,423543,53.59556085,,,,
1996-0248-VNM,1996,0248,,Natural,Hydrological,Flood,Riverine flood,,,Viet Nam,VNM,South-Eastern Asia,Asia,"An Giang, Dong Thap, Tay Minh, Long An, Tien Giang, Kien Giang, Can Tho, Vinh Long provinces",Heavy rain,,,Yes,No,No,,22610,Km2,,,,Mekong,1996,10,1,1996,11,13,162,,375000,,375000,,,,,138000,257484,53.59556085,,,,
